"Date","Google","Yahoo!","bing","Ask Jeeves","Webcrawler","Baidu","DuckDuckGo","Babylon","Conduit","YANDEX RU","AVG Search","MySearchResults","SweetIM","Other"
2013-01,90.73,4.02,2.98,0.74,0.01,0.02,0,0.67,0.53,0.03,0,0,0.19,0.06
2013-02,89.85,4.45,3.5,0.7,0.04,0.02,0,0.64,0.52,0.05,0.01,0,0.15,0.08
2013-03,91.02,4.07,3.41,0.22,0.05,0.04,0,0.51,0.46,0.04,0,0,0.12,0.07
2013-04,91.23,3.79,3.69,0.16,0.07,0.03,0,0.43,0.4,0.05,0,0,0.09,0.07
2013-05,91.47,3.62,3.71,0.13,0.2,0.05,0,0.39,0.28,0.03,0,0,0.06,0.05
2013-06,91.6,3.31,3.54,0.11,0.59,0.04,0.01,0.37,0.24,0.05,0,0,0.08,0.06
2013-07,92.45,2.92,2.97,0.12,0.8,0.02,0,0.32,0.24,0.04,0,0,0.07,0.04
2013-08,92.32,3.18,2.83,0.11,0.91,0.03,0,0.29,0.19,0.03,0,0,0.06,0.07
2013-09,91.21,3.79,3.03,0.16,1.28,0.03,0,0.23,0.16,0.03,0,0,0.02,0.04
2013-10,88.4,3.83,2.79,2.67,1.27,0.02,0,0.22,0.12,0.03,0.15,0.11,0.02,0.37
2013-11,88.63,3.9,2.78,2.67,1.14,0.03,0,0.14,0.11,0.04,0.16,0.12,0.02,0.26
2013-12,90.36,3.26,2.4,2.19,1.2,0.03,0,0,0.08,0.03,0.12,0.1,0.01,0.21
2014-01,90.41,2.82,2.58,2.6,1.07,0.03,0,0,0.1,0.03,0.09,0.08,0.01,0.18
2014-02,89.77,2.94,2.69,2.97,1.11,0.03,0,0,0.08,0.03,0.1,0.08,0.02,0.19
2014-03,89.44,3.64,2.82,3.1,0.53,0.03,0.02,0,0.06,0.03,0.09,0.06,0.01,0.16
2014-04,89.6,3.66,2.82,3.18,0.38,0.03,0.02,0,0.05,0.03,0.07,0.04,0.01,0.12
2014-05,89.56,3.88,2.77,2.72,0.66,0.03,0.02,0,0.05,0.04,0.08,0.04,0.01,0.13
2014-06,89.66,3.85,2.87,2.63,0.67,0.04,0.01,0,0.05,0.04,0.05,0.04,0.01,0.1
2014-07,88.86,4,3.05,2.99,0.75,0.03,0.01,0,0.05,0.04,0.05,0.04,0.01,0.12
2014-08,89.67,3.81,2.93,2.67,0.63,0.03,0.01,0,0.03,0.03,0.03,0.03,0.02,0.11
2014-09,89.37,3.89,2.76,3.15,0.56,0.03,0.01,0,0,0.04,0.04,0.03,0.01,0.11
2014-10,89.2,3.91,2.89,3.16,0.61,0.03,0,0,0,0.05,0.04,0.02,0,0.08
2014-11,88.41,3.81,3.13,3.89,0.54,0.03,0.01,0,0,0.05,0.04,0.03,0,0.07
2014-12,89.2,4.2,2.99,2.78,0.6,0.05,0,0,0,0.04,0.04,0.02,0,0.07
2015-01,88.51,4.6,3.02,3.08,0.56,0.05,0.01,0,0,0.05,0.03,0.02,0,0.07
2015-02,87.5,4.55,3.38,3.64,0.72,0.05,0.01,0,0,0.03,0.03,0.01,0,0.06
2015-03,86.67,4.5,3.44,4.37,0.79,0.04,0.03,0,0,0.04,0.04,0.01,0,0.07
2015-04,87.98,3.73,3.19,4.15,0.71,0.05,0.05,0,0,0.04,0.03,0.01,0,0.06
2015-05,89.16,3.27,2.94,3.66,0.72,0.05,0.04,0,0,0.04,0.03,0.01,0,0.07
2015-06,92.14,3.03,3.08,0.75,0.71,0.07,0.04,0,0,0.04,0.04,0.01,0,0.08
2015-07,92.66,2.86,2.81,0.8,0.58,0.09,0.02,0,0,0.05,0.04,0.01,0,0.08
2015-08,94.22,2.12,2.11,0.65,0.66,0.08,0.04,0,0,0.03,0.02,0.01,0,0.06
2015-09,94.25,2,2.29,0.62,0.56,0.09,0.04,0,0,0.04,0.03,0,0,0.07
2015-10,94.74,1.8,2.18,0.52,0.5,0.1,0.03,0,0,0.04,0.04,0.01,0,0.05
2015-11,94.76,1.81,2.26,0.45,0.47,0.1,0.03,0,0,0.04,0.03,0,0,0.05
2015-12,95.25,1.65,2.11,0.33,0.41,0.1,0.02,0,0,0.04,0.01,0,0,0.08
2016-01,95.38,1.58,2.01,0.31,0.47,0.12,0.02,0,0,0.03,0.01,0,0,0.06
2016-02,95.43,1.66,1.9,0.29,0.44,0.15,0.02,0,0,0.03,0.01,0,0,0.05
2016-03,95.54,1.66,1.84,0.28,0.44,0.1,0.03,0,0,0.03,0.02,0,0,0.06
2016-04,96.13,1.48,1.69,0.19,0.3,0.09,0.02,0,0,0.03,0.01,0,0,0.05
2016-05,96.69,1.35,1.44,0.14,0.19,0.1,0.02,0,0,0.02,0.01,0,0,0.03
2016-06,96.52,1.37,1.58,0.14,0.2,0.08,0.02,0,0,0.03,0.01,0,0,0.04
2016-07,96.58,1.54,1.38,0.1,0.2,0.11,0.02,0,0,0.02,0.01,0,0,0.05
2016-08,96.76,1.37,1.38,0.11,0.17,0.12,0.02,0,0,0.02,0.01,0,0,0.05
2016-09,97.06,1.3,1.22,0.1,0.13,0.11,0.02,0,0,0.02,0.01,0,0,0.04
2016-10,96.85,1.44,1.3,0.09,0.14,0.09,0.02,0,0,0.02,0.01,0,0,0.04
2016-11,96.87,1.47,1.23,0.07,0.17,0.09,0.03,0,0,0.02,0.01,0,0,0.04
2016-12,97.1,1.22,1.17,0.05,0.12,0.27,0.03,0,0,0.02,0,0,0,0.03
2017-01,96.89,1.52,1.15,0.07,0.16,0.12,0.03,0,0,0.02,0.01,0,0,0.04
2017-02,96.69,1.74,1.13,0.06,0.14,0.13,0.03,0,0,0.03,0.01,0,0,0.03
2017-03,96.63,1.77,1.16,0.06,0.15,0.12,0.03,0,0,0.02,0,0,0,0.04
2017-04,96.89,1.61,1.06,0.06,0.14,0.13,0.03,0,0,0.03,0.01,0,0,0.03
2017-05,96.61,1.82,1.13,0.05,0.12,0.16,0.05,0,0,0.03,0,0,0,0.04
2017-06,96.18,2.07,1.23,0.07,0.11,0.2,0.05,0,0,0.03,0,0,0,0.05
2017-07,96.32,2.07,1.15,0.04,0.1,0.18,0.05,0,0,0.03,0,0,0,0.05
2017-08,95.63,2.42,1.26,0.05,0.22,0.2,0.09,0,0,0.04,0,0,0,0.07
2017-09,95.86,2.12,1.17,0.04,0.44,0.18,0.08,0,0,0.04,0,0,0,0.06
2017-10,94.54,2.7,1.67,0.04,0.61,0.22,0.12,0,0,0.05,0.01,0,0,0.05
2017-11,94.67,2.59,1.85,0.05,0.31,0.26,0.14,0,0,0.07,0.01,0,0,0.05
2017-12,95.18,2.05,1.83,0.03,0.32,0.29,0.16,0,0,0.05,0.01,0,0,0.08
2018-01,94.76,2.28,1.85,0.05,0.4,0.31,0.23,0,0,0.05,0.01,0,0,0.07
2018-02,94.69,2.15,2.15,0.03,0.38,0.3,0.17,0,0,0.06,0,0,0,0.06
2018-03,94.02,2.43,2.63,0.02,0.33,0.25,0.17,0,0,0.08,0.01,0,0,0.07
2018-04,94.62,2.11,2.39,0.03,0.25,0.34,0.12,0,0,0.06,0,0,0,0.06
2018-05,94.51,2.29,2.31,0.02,0.27,0.33,0.12,0,0,0.06,0.01,0,0,0.08
2018-06,94.41,2.05,2.62,0.02,0.16,0.24,0.15,0,0,0.07,0.01,0,0,0.27
2018-07,93.88,2.08,3.23,0.02,0.05,0.26,0.21,0,0,0.08,0.01,0,0,0.19
2018-08,94.74,1.8,2.86,0.03,0.06,0.21,0.14,0,0,0.05,0.01,0,0,0.13
2018-09,95.59,1.68,2.18,0.03,0.06,0.17,0.11,0,0,0.06,0,0,0,0.11
2018-10,95.29,1.65,2.53,0.02,0.08,0.13,0.12,0,0,0.07,0,0,0,0.11
2018-11,95.4,1.48,2.6,0.01,0.08,0.08,0.15,0,0,0.06,0,0,0,0.12
2018-12,95.85,1.33,2.26,0.02,0.08,0.13,0.18,0,0,0.06,0,0,0,0.1
2019-01,95.44,1.5,2.52,0.02,0.11,0.12,0.17,0,0,0.04,0,0,0,0.09
2019-02,95.21,1.48,2.79,0.03,0.11,0.07,0.18,0,0,0.04,0.01,0,0,0.08
2019-03,95.56,1.38,2.58,0.01,0.11,0.07,0.17,0,0,0.05,0.01,0,0,0.07
2019-04,95.68,1.34,2.46,0.02,0.13,0.11,0.18,0,0,0.03,0.01,0,0,0.04
2019-05,95.56,1.48,2.37,0.01,0.15,0.07,0.2,0,0,0.05,0.01,0,0,0.1
2019-06,95.53,1.33,2.44,0.01,0.16,0.1,0.28,0,0,0.05,0,0,0,0.09
2019-07,96,1.08,2.4,0.02,0.02,0.09,0.23,0,0,0.05,0,0,0,0.11
2019-08,96.38,0.99,2.19,0.01,0.02,0.1,0.19,0,0,0.04,0,0,0,0.07
2019-09,96.37,0.98,2.25,0.02,0.01,0.08,0.16,0,0,0.03,0,0,0,0.09
2019-10,96.5,0.97,2.14,0.02,0.02,0.08,0.18,0,0,0.03,0,0,0,0.07
2019-11,96.58,0.99,2.01,0.01,0.03,0.08,0.2,0,0,0.03,0,0,0,0.07
2019-12,97.39,0.8,1.43,0.01,0.02,0.08,0.19,0,0,0.02,0,0,0,0.07
