"Date","Google","bing","Yahoo!","Ask Jeeves","Webcrawler","Baidu","DuckDuckGo","Conduit","Babylon","YANDEX RU","AVG Search","Delta Search","MSN","MySearchResults","Other"
2013-01,95.19,1.86,1.35,0.66,0.01,0.01,0,0.47,0.26,0.02,0,0,0,0,0.18
2013-02,95,2.08,1.44,0.64,0.02,0.01,0,0.41,0.23,0.02,0,0,0,0,0.16
2013-03,95.67,2.08,1.43,0.15,0.02,0.01,0,0.32,0.17,0.02,0,0,0,0,0.13
2013-04,95.6,2.14,1.51,0.07,0.01,0.01,0,0.25,0.27,0.02,0,0,0,0,0.11
2013-05,95.6,2.25,1.46,0.07,0.03,0.01,0,0.22,0.29,0.01,0,0,0,0,0.06
2013-06,95.38,2.3,1.53,0.07,0.08,0.01,0,0.19,0.35,0.02,0,0,0,0,0.08
2013-07,95.5,2.26,1.42,0.08,0.13,0.01,0,0.19,0.32,0.02,0,0,0,0,0.07
2013-08,95.37,2.29,1.49,0.08,0.22,0.01,0,0.16,0.3,0.02,0,0,0,0,0.06
2013-09,94.7,2.66,1.83,0.09,0.28,0.01,0,0.13,0.21,0.02,0,0.01,0,0,0.05
2013-10,92.39,2.47,2.41,1.44,0.26,0.01,0,0.1,0.13,0.02,0.1,0.17,0,0.1,0.39
2013-11,92.26,2.36,2.65,1.58,0.29,0.02,0,0.1,0.1,0.02,0.08,0,0,0.13,0.41
2013-12,93.09,2.25,2.13,1.4,0.41,0.02,0,0.09,0,0.02,0.07,0.12,0,0.14,0.26
2014-01,93.49,2.14,1.84,1.6,0.37,0.02,0,0.08,0,0.02,0.07,0.1,0,0.11,0.15
2014-02,93.61,2.16,1.71,1.72,0.35,0.01,0.01,0.07,0,0.02,0.06,0.08,0,0.09,0.12
2014-03,93.33,2.27,2.08,1.73,0.15,0.02,0.01,0.07,0,0.02,0.06,0.07,0,0.05,0.15
2014-04,93.59,2.25,2.04,1.68,0.11,0.01,0.01,0.05,0,0.02,0.05,0.05,0,0.03,0.11
2014-05,93.62,2.19,2.01,1.68,0.2,0.01,0.01,0.04,0,0.02,0.04,0.04,0,0.02,0.09
2014-06,93.64,2.04,1.9,1.95,0.21,0.01,0.01,0.04,0,0.02,0.04,0.03,0,0.02,0.07
2014-07,93.8,2.05,1.97,1.76,0.22,0.01,0.01,0.03,0,0.02,0.03,0.03,0,0.01,0.06
2014-08,93.22,2.56,2.33,1.43,0.23,0.02,0.01,0.02,0.01,0.03,0.03,0.03,0,0.01,0.08
2014-09,93.65,2.4,2.18,1.43,0.15,0.02,0.01,0,0.01,0.03,0.03,0.02,0,0.01,0.07
2014-10,92.84,2.55,2.61,1.62,0.17,0.02,0.01,0,0.01,0.03,0.03,0.02,0.01,0.01,0.07
2014-11,92.13,2.69,2.87,1.92,0.19,0.02,0.01,0,0.01,0.03,0.03,0.02,0.01,0.01,0.06
2014-12,92.07,2.69,2.96,1.93,0.18,0.02,0.01,0,0,0.03,0.03,0.02,0.01,0.01,0.05
2015-01,92.17,2.81,2.89,1.8,0.15,0.02,0.01,0,0.01,0.03,0.02,0.02,0.02,0.01,0.06
2015-02,92.7,2.71,2.51,1.74,0.16,0.03,0.01,0,0.01,0.03,0.02,0.01,0.01,0.01,0.05
2015-03,92.9,2.64,2.4,1.73,0.16,0.04,0.02,0,0,0.03,0.02,0.01,0.01,0.01,0.04
2015-04,93.5,2.43,2.22,1.51,0.17,0.04,0.03,0,0,0.02,0.01,0.01,0.01,0.01,0.04
2015-05,94.76,2.05,1.64,1.29,0.12,0.03,0.03,0,0,0.02,0.01,0.01,0.01,0,0.03
2015-06,95.4,1.95,1.38,1.02,0.1,0.03,0.03,0,0,0.02,0.01,0.01,0.01,0,0.03
2015-07,95.16,2.07,1.42,1.12,0.08,0.03,0.02,0,0,0.02,0.01,0.01,0.01,0,0.04
2015-08,95.35,2.28,1.48,0.65,0.08,0.04,0.03,0,0,0.02,0.01,0.01,0.01,0,0.04
2015-09,95.57,2.26,1.34,0.6,0.07,0.02,0.03,0,0,0.02,0.01,0.01,0.01,0,0.05
2015-10,95.47,2.29,1.37,0.62,0.08,0.03,0.03,0,0,0.03,0.01,0.01,0.01,0,0.06
2015-11,95.51,2.21,1.49,0.54,0.08,0.03,0.03,0,0,0.03,0.01,0.01,0.01,0,0.05
2015-12,95.69,2.09,1.56,0.41,0.07,0.04,0.03,0,0,0.02,0.01,0,0.01,0,0.06
2016-01,96.11,1.92,1.39,0.34,0.08,0.03,0.03,0,0,0.02,0.01,0,0.01,0,0.05
2016-02,95.79,2.08,1.54,0.34,0.08,0.04,0.03,0,0,0.02,0.01,0,0.01,0,0.05
2016-03,96.2,1.87,1.43,0.26,0.08,0.04,0.02,0,0,0.02,0.01,0,0.01,0,0.04
2016-04,96.49,1.83,1.32,0.18,0.05,0.03,0.02,0,0,0.02,0,0,0.01,0,0.04
2016-05,97.08,1.48,1.15,0.16,0.03,0.03,0.02,0,0,0.02,0,0,0,0,0.03
2016-06,97.56,1.23,0.95,0.15,0.03,0.02,0.02,0,0,0.01,0,0,0.01,0,0.02
2016-07,97.2,1.39,1.17,0.1,0.03,0.03,0.02,0,0,0.02,0,0,0.01,0,0.03
2016-08,97.24,1.39,1.15,0.08,0.03,0.04,0.02,0,0,0.02,0,0,0.01,0,0.03
2016-09,97.15,1.46,1.16,0.08,0.02,0.05,0.02,0,0,0.01,0,0,0.01,0,0.03
2016-10,97.23,1.37,1.17,0.08,0.02,0.05,0.03,0,0,0.01,0,0,0.01,0,0.03
2016-11,97.39,1.31,1.08,0.07,0.03,0.04,0.02,0,0,0.02,0,0,0.02,0,0.03
2016-12,97.65,1.11,1.02,0.06,0.02,0.05,0.03,0,0,0.02,0,0,0.01,0,0.03
2017-01,97.17,1.3,1.29,0.07,0.03,0.05,0.03,0,0,0.02,0,0,0.01,0,0.03
2017-02,97.15,1.28,1.34,0.06,0.02,0.05,0.04,0,0,0.02,0,0,0.01,0,0.03
2017-03,96.97,1.37,1.44,0.05,0.02,0.05,0.04,0,0,0.02,0,0,0.01,0,0.03
2017-04,97.11,1.26,1.4,0.05,0.02,0.05,0.04,0,0,0.02,0,0,0.02,0,0.03
2017-05,97.34,1.1,1.35,0.05,0.02,0.04,0.03,0,0,0.02,0,0,0.02,0,0.02
2017-06,97.3,1.07,1.45,0.04,0.02,0.04,0.03,0,0,0.02,0,0,0.01,0,0.02
2017-07,96.79,1.25,1.75,0.04,0.02,0.05,0.04,0,0,0.02,0,0,0.01,0,0.03
2017-08,95.33,1.9,2.45,0.05,0.04,0.07,0.06,0,0,0.03,0,0,0.02,0,0.04
2017-09,95.13,1.87,2.64,0.04,0.09,0.07,0.07,0,0,0.03,0,0,0.02,0,0.04
2017-10,94.78,2.12,2.69,0.04,0.13,0.08,0.08,0,0,0.03,0,0,0.02,0,0.04
2017-11,95,2.23,2.34,0.04,0.08,0.1,0.09,0,0,0.03,0,0,0.02,0,0.06
2017-12,95.47,1.99,2.13,0.03,0.07,0.11,0.09,0,0,0.03,0,0,0.02,0,0.05
2018-01,95.04,2.15,2.36,0.03,0.09,0.09,0.12,0,0,0.04,0,0,0.02,0,0.05
2018-02,94.92,2.34,2.33,0.03,0.08,0.11,0.08,0,0,0.04,0,0,0.02,0,0.05
2018-03,94.91,2.46,2.24,0.03,0.06,0.09,0.1,0,0,0.04,0,0,0.04,0,0.04
2018-04,95.22,2.39,2.01,0.03,0.04,0.11,0.1,0,0,0.04,0,0,0.02,0,0.05
2018-05,95.05,2.48,2.08,0.03,0.06,0.1,0.09,0,0,0.04,0,0,0.02,0,0.05
2018-06,95.86,1.92,1.86,0.03,0.03,0.08,0.09,0,0,0.03,0,0,0.06,0,0.04
2018-07,95.04,2.44,2.14,0.03,0.02,0.09,0.1,0,0,0.04,0,0,0.05,0,0.04
2018-08,94.97,2.69,1.97,0.02,0.03,0.09,0.11,0,0,0.04,0,0,0.03,0,0.05
2018-09,96.04,1.78,1.8,0.02,0.03,0.07,0.14,0,0,0.04,0,0,0.04,0,0.04
2018-10,96.58,1.58,1.51,0.02,0.03,0.05,0.12,0,0,0.04,0,0,0.04,0,0.03
2018-11,96.68,1.53,1.48,0.02,0.03,0.04,0.12,0,0,0.03,0,0,0.03,0,0.03
2018-12,97.01,1.27,1.42,0.01,0.02,0.04,0.12,0,0,0.03,0,0,0.03,0,0.03
2019-01,97.22,1.26,1.27,0.01,0.02,0.03,0.1,0,0,0.03,0,0,0.03,0,0.03
2019-02,96.99,1.47,1.27,0.01,0.03,0.03,0.1,0,0,0.03,0,0,0.04,0,0.03
2019-03,96.58,1.69,1.42,0.02,0.03,0.04,0.12,0,0,0.03,0,0,0.03,0,0.03
2019-04,96.4,1.9,1.38,0.01,0.04,0.04,0.13,0,0,0.03,0,0,0.03,0,0.03
2019-05,96.56,1.83,1.31,0.01,0.03,0.04,0.13,0,0,0.03,0,0,0.03,0,0.03
2019-06,96.51,1.7,1.44,0.01,0.04,0.07,0.13,0,0,0.04,0,0,0.03,0,0.03
2019-07,96.8,1.66,1.23,0.01,0.01,0.07,0.12,0,0,0.04,0,0,0.02,0,0.05
2019-08,96.89,1.7,1.11,0.01,0.01,0.05,0.12,0,0,0.04,0,0,0.02,0,0.05
2019-09,97.23,1.46,1.01,0.01,0,0.05,0.11,0,0,0.04,0,0,0.02,0,0.06
2019-10,97.08,1.54,1.08,0.01,0.01,0.06,0.11,0,0,0.04,0,0,0.01,0,0.06
2019-11,97.22,1.45,1.02,0.01,0.01,0.06,0.12,0,0,0.04,0,0,0.02,0,0.06
2019-12,97.74,1.11,0.9,0.01,0,0.04,0.11,0,0,0.04,0,0,0.01,0,0.05
