"Date","Google","bing","Yahoo!","YANDEX RU","Ask Jeeves","Seznam","DuckDuckGo","Mail.ru","Conduit","t-online","Babylon","MSN","StartPagina (Google)","WEB.DE","AOL","SweetIM","Arianna","AVG Search","Baidu","Snap.do","Ecosia","Webcrawler","Qwant","YANDEX","Delta Search","Norton Safe Search","Other"
2013-01,93.21,2.05,0.96,1.09,0.5,0.22,0,0,0.7,0,0.53,0,0.1,0.05,0.07,0.28,0.06,0,0.01,0,0.01,0,0,0,0,0,0.15
2013-02,92.78,2.32,1.06,1.31,0.48,0.23,0,0.01,0.67,0,0.44,0,0.1,0.05,0.07,0.26,0.05,0,0.01,0,0.01,0.01,0,0,0,0,0.12
2013-03,93.51,2.15,1.07,1.33,0.19,0.25,0,0,0.54,0,0.32,0,0.1,0.05,0.07,0.2,0.04,0,0.01,0,0.01,0.01,0,0,0,0,0.11
2013-04,93.75,2.19,1.12,1.25,0.15,0.23,0,0,0.46,0,0.28,0,0.09,0.05,0.07,0.16,0.04,0,0.01,0,0.01,0.01,0,0.01,0,0,0.11
2013-05,93.84,2.3,1.17,1.11,0.15,0.25,0,0,0.4,0,0.28,0,0.1,0.08,0.06,0.07,0.04,0,0.01,0,0.01,0.01,0,0.01,0,0,0.11
2013-06,93.41,2.41,1.29,1.2,0.16,0.31,0.03,0.01,0.34,0,0.33,0,0.1,0.06,0.07,0.09,0.04,0,0.01,0,0.01,0.02,0,0,0,0,0.11
2013-07,93.25,2.53,1.37,1.27,0.16,0.26,0.01,0,0.31,0,0.32,0,0.09,0.07,0.07,0.09,0.04,0,0.01,0,0.01,0.02,0,0,0,0,0.11
2013-08,93.25,2.59,1.38,1.33,0.15,0.25,0,0.01,0.27,0,0.27,0,0.09,0.09,0.07,0.06,0.03,0,0.01,0,0.01,0.04,0,0,0,0,0.1
2013-09,93.06,2.75,1.43,1.39,0.15,0.25,0.02,0,0.23,0,0.22,0,0.08,0.09,0.06,0.04,0.03,0,0.01,0,0,0.05,0,0,0,0,0.1
2013-10,91.61,2.62,1.73,1.26,0.62,0.22,0.02,0.26,0.18,0.15,0.16,0,0.08,0.08,0.06,0.04,0.03,0.14,0.01,0.11,0,0.05,0,0,0.12,0.02,0.46
2013-11,91.7,2.58,1.84,1.27,0.62,0.19,0.02,0.32,0.17,0.14,0.12,0,0.07,0.08,0.05,0.03,0.03,0.12,0.01,0.16,0,0.06,0,0,0,0.02,0.4
2013-12,92.18,2.57,1.63,1.21,0.48,0.19,0.02,0.31,0.15,0.13,0.11,0,0.07,0.07,0.05,0.03,0.02,0.1,0.01,0.17,0,0.07,0,0.01,0.08,0.02,0.32
2014-01,92.54,2.64,1.59,1.12,0.47,0.2,0.02,0.28,0.13,0.12,0.08,0,0.07,0.06,0.05,0.03,0.02,0.09,0.01,0.13,0,0.06,0,0.01,0.07,0.01,0.2
2014-02,92.82,2.62,1.51,1.14,0.47,0.18,0.03,0.27,0.11,0.11,0.06,0,0.07,0.06,0.05,0.03,0.02,0.07,0.01,0.09,0,0.05,0,0.01,0.06,0.01,0.16
2014-03,92.79,2.53,1.65,1.16,0.51,0.19,0.07,0.23,0.1,0.09,0.05,0,0.07,0.04,0.09,0.02,0.03,0.07,0.01,0.08,0,0.02,0,0.01,0.04,0.01,0.14
2014-04,92.96,2.37,1.74,1.11,0.52,0.22,0.07,0.2,0.08,0.1,0.05,0,0.07,0.04,0.07,0.02,0.02,0.06,0.01,0.09,0,0.02,0,0.02,0.04,0.01,0.12
2014-05,92.82,2.47,1.94,1,0.48,0.26,0.08,0.18,0.07,0.11,0.04,0,0.06,0.05,0.05,0.02,0.03,0.06,0.01,0.06,0,0.03,0,0.02,0.03,0.01,0.11
2014-06,92.77,2.52,2.09,1.04,0.43,0.23,0.07,0.18,0.06,0.12,0.03,0,0.06,0.05,0.05,0.01,0.02,0.05,0.01,0.03,0,0.03,0,0.01,0.03,0.01,0.11
2014-07,92.38,2.64,2.34,1.09,0.46,0.23,0.03,0.18,0.05,0.12,0.03,0,0.07,0.05,0.05,0.01,0.02,0.05,0.01,0.02,0,0.02,0,0.01,0.02,0.01,0.11
2014-08,92.41,2.63,2.38,1.08,0.44,0.18,0.04,0.19,0.03,0.13,0.04,0,0.07,0.06,0.05,0.01,0.02,0.04,0.01,0.01,0,0.02,0,0.01,0.02,0.01,0.12
2014-09,92.42,2.7,2.37,1.11,0.43,0.16,0.04,0.18,0,0.13,0.03,0,0.06,0.06,0.04,0.02,0.02,0.04,0.01,0.01,0,0.01,0,0.01,0.02,0.02,0.11
2014-10,92.38,2.67,2.34,1.2,0.42,0.16,0.05,0.18,0,0.13,0.03,0,0.07,0.06,0.04,0.02,0.02,0.04,0.01,0.01,0,0.01,0,0.01,0.02,0.02,0.1
2014-11,92.46,2.68,2.31,1.18,0.43,0.16,0.05,0.19,0,0.12,0.02,0,0.06,0.05,0.04,0.01,0.02,0.03,0.01,0.01,0,0.02,0,0.01,0.02,0.02,0.09
2014-12,92.35,2.72,2.34,1.18,0.43,0.18,0.04,0.19,0,0.15,0.02,0.01,0.06,0.07,0.04,0.01,0.03,0.03,0.01,0.01,0,0.02,0,0.01,0.01,0.01,0.09
2015-01,92.48,2.77,2.26,1.09,0.41,0.19,0.06,0.18,0,0.15,0.02,0.01,0.06,0.07,0.04,0.01,0.02,0.03,0.01,0.01,0,0.01,0,0.01,0.01,0.01,0.08
2015-02,92.19,2.87,2.29,1.2,0.44,0.2,0.06,0.21,0,0.14,0.02,0.01,0.06,0.06,0.04,0.01,0.02,0.03,0.01,0.01,0,0.02,0,0.01,0.01,0.02,0.08
2015-03,92.1,2.82,2.22,1.26,0.46,0.2,0.1,0.22,0,0.14,0.02,0.08,0.06,0.06,0.03,0.01,0.02,0.03,0.01,0,0,0.02,0,0.01,0.01,0.02,0.08
2015-04,92.31,2.73,2.16,1.22,0.43,0.21,0.14,0.22,0,0.15,0.02,0.03,0.06,0.07,0.04,0.01,0.03,0.02,0.01,0,0,0.01,0,0.01,0.01,0.02,0.08
2015-05,92.52,2.71,2.15,1.11,0.36,0.22,0.15,0.2,0,0.16,0.01,0.03,0.06,0.07,0.04,0.01,0.03,0.02,0.01,0,0,0.01,0,0.02,0.01,0.02,0.08
2015-06,93,2.56,1.89,1.19,0.22,0.23,0.15,0.2,0,0.16,0.01,0.01,0.06,0.07,0.04,0.01,0.03,0.02,0.01,0,0,0.01,0,0.02,0.01,0.02,0.07
2015-07,92.37,2.76,2.1,1.35,0.23,0.25,0.11,0.22,0,0.18,0.01,0.01,0.07,0.08,0.04,0.01,0.03,0.02,0.02,0,0,0.01,0,0.02,0.01,0.03,0.07
2015-08,92.99,2.5,1.93,1.27,0.23,0.23,0.16,0.19,0,0.15,0.01,0.01,0.07,0.02,0.04,0.01,0.03,0.02,0.02,0,0,0.01,0,0.02,0.01,0.02,0.07
2015-09,92.92,2.52,1.9,1.39,0.23,0.23,0.17,0.19,0,0.13,0.01,0.01,0.06,0,0.03,0.01,0.03,0.02,0.02,0.01,0,0,0,0.03,0.01,0.02,0.06
2015-10,92.86,2.58,1.92,1.52,0.22,0.22,0.18,0.19,0,0.03,0.01,0.01,0.06,0,0.03,0.01,0.03,0.01,0.02,0.01,0,0,0,0.02,0.01,0.02,0.06
2015-11,92.75,2.67,1.9,1.56,0.19,0.2,0.18,0.2,0,0,0.01,0.09,0.05,0,0.03,0.01,0.03,0.01,0.02,0.01,0,0,0,0.02,0.01,0.02,0.05
2015-12,92.29,3.21,1.89,1.61,0.16,0.19,0.17,0.2,0,0,0.01,0.01,0.05,0,0.03,0.01,0.02,0.01,0.02,0.01,0,0,0,0.02,0.01,0.02,0.06
2016-01,92.12,3.61,1.87,1.34,0.14,0.19,0.17,0.19,0,0.09,0.01,0.02,0.05,0,0.04,0.01,0.03,0.01,0.02,0,0,0.01,0,0.02,0,0.02,0.07
2016-02,92.19,3.47,1.81,1.47,0.12,0.18,0.17,0.18,0,0.12,0.01,0.01,0.04,0,0.04,0.01,0.02,0.01,0.02,0,0,0,0,0.02,0,0.02,0.08
2016-03,92.45,3.27,1.71,1.52,0.1,0.16,0.16,0.17,0,0.1,0.01,0.09,0.04,0,0.04,0,0.02,0.01,0.02,0,0,0,0,0.02,0,0.01,0.08
2016-04,92.54,3.35,1.73,1.44,0.07,0.17,0.16,0.19,0,0.1,0.01,0.03,0.04,0,0.04,0,0.02,0.01,0.02,0,0,0,0,0.02,0,0,0.07
2016-05,92.72,3.35,1.67,1.36,0.06,0.17,0.16,0.18,0,0.09,0.01,0.03,0.04,0,0.03,0,0.02,0.01,0.02,0,0,0,0,0.01,0,0,0.06
2016-06,92.59,3.35,1.65,1.48,0.06,0.17,0.17,0.17,0,0.09,0,0.07,0.04,0,0.03,0,0.02,0.01,0.02,0,0,0,0,0.01,0,0,0.06
2016-07,92.57,3.27,1.73,1.48,0.05,0.19,0.18,0.17,0,0.09,0,0.04,0.04,0,0.04,0,0.02,0.01,0.03,0,0,0,0,0.02,0,0,0.06
2016-08,92.73,3.19,1.67,1.55,0.04,0.17,0.17,0.15,0,0.09,0,0.01,0.04,0,0.03,0,0.02,0,0.03,0,0,0,0,0.02,0,0,0.06
2016-09,93.06,3.14,1.54,1.48,0.04,0.15,0.16,0.15,0,0.08,0,0.02,0.03,0,0.03,0,0.02,0,0.03,0,0,0,0,0.02,0,0,0.05
2016-10,93.07,3.17,1.55,1.43,0.04,0.14,0.16,0.16,0,0.05,0,0.02,0.03,0,0.03,0,0.02,0,0.02,0,0,0,0,0.01,0,0,0.08
2016-11,92.99,3.19,1.48,1.52,0.04,0.13,0.16,0.19,0,0.05,0,0.08,0.03,0,0.03,0,0.02,0,0.02,0,0,0,0,0.01,0,0,0.06
2016-12,92.49,3.19,1.54,1.9,0.07,0.15,0.18,0.24,0,0,0,0.07,0.01,0,0.02,0,0.02,0,0.03,0,0,0,0,0.01,0,0,0.06
2017-01,92.32,3.33,1.52,1.89,0.06,0.13,0.22,0.27,0,0,0,0.07,0.03,0,0.02,0,0.02,0,0.02,0,0,0,0,0.01,0,0,0.07
2017-02,92.25,3.44,1.56,1.93,0.04,0.13,0.25,0.18,0,0,0,0.06,0.02,0,0.02,0,0.02,0,0.02,0,0,0,0,0.01,0,0,0.05
2017-03,91.95,3.66,1.63,1.88,0.03,0.13,0.29,0.17,0,0,0,0.08,0.02,0,0.02,0,0.02,0,0.03,0,0,0,0,0.01,0,0,0.04
2017-04,92.12,3.52,1.6,1.79,0.02,0.16,0.28,0.16,0,0.01,0,0.17,0.03,0,0.02,0,0.02,0,0.03,0,0,0,0,0.01,0,0.01,0.04
2017-05,91.92,3.63,1.64,1.71,0.02,0.15,0.29,0.16,0,0.01,0,0.3,0.03,0,0.02,0,0.02,0,0.03,0,0,0,0,0.01,0,0.01,0.03
2017-06,91.42,3.82,1.78,1.91,0.02,0.18,0.31,0.18,0,0.01,0,0.23,0.01,0,0.02,0,0.02,0,0.03,0,0,0,0,0.01,0,0.01,0.03
2017-07,91.29,3.7,1.89,2.11,0.02,0.2,0.34,0.17,0,0.01,0,0.13,0.01,0,0.02,0,0.02,0,0.03,0,0,0,0,0.02,0,0.01,0.03
2017-08,91.78,3.5,1.9,1.8,0.02,0.2,0.34,0.14,0,0.01,0,0.18,0.01,0,0.01,0,0.02,0,0.03,0,0,0,0,0.02,0,0.01,0.03
2017-09,91.72,3.66,1.82,1.86,0.01,0.17,0.35,0.13,0,0.01,0,0.12,0.01,0,0.01,0,0.02,0,0.03,0,0,0,0,0.01,0,0.01,0.03
2017-10,92.01,3.67,1.59,1.85,0.02,0.14,0.36,0.13,0,0.01,0,0.1,0.01,0.01,0.01,0,0.01,0,0.03,0,0,0,0,0.01,0,0.01,0.03
2017-11,92.06,3.72,1.21,2.15,0.02,0.13,0.33,0.13,0,0.01,0,0.09,0.01,0.01,0.01,0,0.01,0,0.03,0,0,0,0.02,0.01,0,0.01,0.03
2017-12,91.85,3.66,1.13,2.44,0.02,0.15,0.34,0.14,0,0.02,0,0.09,0.01,0.01,0.01,0,0.01,0,0.03,0,0,0,0.04,0.01,0,0.01,0.03
2018-01,91.66,3.75,1.28,2.4,0.02,0.15,0.33,0.13,0,0.02,0,0.09,0.01,0.01,0,0,0.01,0,0.03,0,0,0,0.04,0.01,0,0.01,0.03
2018-02,91.48,3.62,1.4,2.6,0.02,0.15,0.31,0.13,0,0.02,0,0.09,0.01,0.01,0,0,0.01,0,0.03,0,0,0,0.04,0.01,0,0.01,0.05
2018-03,91.53,3.66,1.37,2.58,0.01,0.16,0.35,0.13,0,0.02,0,0.03,0.01,0.01,0,0,0.01,0,0.03,0,0,0,0.04,0.01,0,0.01,0.03
2018-04,91.58,3.68,1.32,2.54,0.01,0.16,0.39,0.12,0,0.03,0,0.01,0.01,0.01,0,0,0.01,0,0.04,0,0,0,0.05,0.01,0,0.01,0.04
2018-05,91.63,3.73,1.34,2.35,0.01,0.19,0.39,0.11,0,0.03,0,0.01,0.01,0.02,0,0,0.01,0,0.04,0,0,0,0.05,0.01,0,0.01,0.04
2018-06,91.33,3.82,1.32,2.45,0.01,0.2,0.39,0.11,0,0.03,0,0.13,0.01,0.04,0,0,0.01,0,0.04,0,0,0,0.05,0.01,0,0.01,0.04
2018-07,91.42,3.71,1.29,2.44,0.01,0.2,0.38,0.11,0,0.03,0,0.2,0.01,0.04,0,0,0,0,0.04,0,0,0,0.05,0.01,0,0.01,0.04
2018-08,91.72,3.65,1.29,2.38,0.01,0.18,0.31,0.11,0,0.04,0,0.1,0.01,0.05,0,0,0,0,0.03,0,0,0,0.05,0.01,0,0.01,0.04
2018-09,93.32,2.15,1.24,2.32,0.01,0.17,0.31,0.13,0,0.03,0,0.12,0.01,0.04,0,0,0,0,0.02,0,0,0,0.06,0.01,0,0.01,0.04
2018-10,93.57,2.11,1.13,2.28,0.01,0.12,0.31,0.11,0,0.03,0,0.14,0.01,0.04,0,0,0,0,0.02,0,0,0,0.06,0.01,0,0.01,0.03
2018-11,93.36,2.18,1.12,2.34,0.01,0.12,0.34,0.11,0,0.03,0,0.2,0.01,0.04,0,0,0,0,0.02,0,0,0,0.06,0.01,0,0.01,0.03
2018-12,93.41,2.12,1.08,2.37,0.01,0.14,0.35,0.11,0,0.03,0,0.17,0.01,0.04,0,0,0,0,0.02,0,0,0,0.07,0.02,0,0.01,0.03
2019-01,93.5,2.21,1.06,2.15,0.01,0.13,0.36,0.11,0,0.03,0,0.26,0.01,0.04,0,0,0,0,0.02,0,0,0,0.07,0.01,0,0.01,0.03
2019-02,93.65,2.27,1.09,2.01,0.01,0.12,0.38,0.11,0,0.03,0,0.14,0.01,0.04,0,0,0,0,0.02,0,0,0,0.06,0.01,0,0.01,0.03
2019-03,93.64,2.31,1.06,1.95,0,0.12,0.4,0.12,0,0.03,0,0.17,0.01,0.04,0,0,0,0,0.02,0,0,0,0.07,0.02,0,0.01,0.02
2019-04,93.61,2.31,1.05,2,0.01,0.14,0.39,0.1,0,0.04,0,0.16,0.01,0.04,0,0,0,0,0.02,0,0,0,0.07,0.01,0,0.01,0.03
2019-05,93.78,2.3,1.02,1.78,0,0.17,0.39,0.08,0,0.03,0,0.25,0.01,0.03,0,0,0,0,0.02,0,0,0,0.07,0.02,0,0.01,0.03
2019-06,93.56,2.42,0.98,1.96,0,0.17,0.42,0.1,0,0.03,0,0.17,0.01,0.03,0,0,0,0,0.02,0,0,0,0.07,0.02,0,0.01,0.03
2019-07,92.77,3.1,0.92,1.95,0,0.19,0.48,0.09,0,0.03,0,0.15,0.01,0.03,0,0,0,0,0.02,0,0.1,0,0.07,0.02,0,0.01,0.03
2019-08,93.03,3.02,0.89,1.72,0,0.15,0.47,0.09,0,0.03,0,0.12,0.01,0.03,0,0,0,0,0.02,0,0.27,0,0.07,0.02,0,0.01,0.02
2019-09,93.86,2.25,0.89,1.59,0,0.12,0.43,0.09,0,0.03,0,0.21,0.01,0.03,0,0,0,0,0.02,0,0.33,0,0.08,0.02,0,0.01,0.02
2019-10,93.84,2.32,0.87,1.69,0,0.1,0.38,0.1,0,0.02,0,0.17,0.01,0.02,0,0,0,0,0.02,0,0.31,0,0.08,0.02,0,0.01,0.02
2019-11,93.9,2.33,0.89,1.67,0,0.09,0.39,0.1,0,0.03,0,0.06,0.01,0.02,0,0,0,0,0.02,0,0.34,0,0.08,0.03,0,0.01,0.02
2019-12,93.91,2.28,0.87,1.74,0,0.1,0.4,0.09,0,0.03,0,0.03,0.01,0.03,0,0,0,0,0.02,0,0.34,0,0.08,0.03,0,0.01,0.02
