"Date","Google","bing","Yahoo!","Ask Jeeves","Babylon","Snap.do","Conduit","SweetIM","DuckDuckGo","Baidu","MSN","Alot Search","AVG Search","Other"
2013-01,96.17,0.94,0.57,0.28,1.19,0,0.42,0.31,0,0,0,0.07,0,0.04
2013-02,96.2,1.14,0.69,0.29,0.89,0,0.4,0.28,0,0,0,0.07,0,0.05
2013-03,96.75,1.19,0.7,0.07,0.65,0,0.32,0.2,0,0,0,0.06,0,0.05
2013-04,96.92,1.26,0.72,0.02,0.58,0,0.25,0.15,0,0,0,0.05,0,0.04
2013-05,97.07,1.29,0.74,0.02,0.55,0,0.2,0.05,0,0,0,0.05,0,0.03
2013-06,97,1.31,0.75,0.03,0.58,0,0.16,0.08,0.01,0,0,0.04,0,0.04
2013-07,97.14,1.3,0.71,0.02,0.52,0,0.14,0.09,0,0,0,0.04,0,0.04
2013-08,97.23,1.3,0.71,0.02,0.47,0,0.12,0.06,0,0.01,0,0.03,0,0.06
2013-09,97.18,1.37,0.79,0.02,0.4,0,0.09,0.04,0,0.01,0,0.02,0,0.06
2013-10,94.01,2.28,1.46,0.7,0.29,0.38,0.07,0.03,0,0,0,0.02,0.08,0.66
2013-11,93.76,2.22,1.97,0.76,0.22,0.56,0.07,0.02,0,0.01,0,0.02,0.06,0.33
2013-12,93.9,2.25,2.2,0.64,0,0.54,0.06,0.02,0.01,0.01,0,0.02,0.05,0.29
2014-01,94.37,2.24,1.97,0.63,0,0.44,0.05,0.03,0.01,0.01,0,0.02,0.05,0.2
2014-02,95.08,2.16,1.52,0.63,0,0.31,0.05,0.02,0.01,0,0,0.02,0.04,0.16
2014-03,94.8,2.12,1.75,0.72,0.02,0.27,0.04,0.02,0.01,0,0,0.01,0.04,0.19
2014-04,94.89,2.02,1.74,0.79,0.06,0.24,0.04,0.02,0.02,0,0,0.01,0.03,0.14
2014-05,94.8,1.99,2.01,0.75,0.05,0.19,0.03,0.01,0.02,0,0,0.01,0.03,0.11
2014-06,95.07,1.95,1.98,0.65,0.04,0.11,0.02,0.01,0.02,0,0,0.01,0.03,0.1
2014-07,94.79,2.06,2.18,0.67,0.04,0.08,0.02,0.01,0.01,0,0,0.01,0.02,0.1
2014-08,94.93,2.08,2.09,0.65,0.04,0.06,0.01,0.01,0.01,0,0,0,0.02,0.09
2014-09,94.82,2.12,2.19,0.62,0.04,0.07,0,0.01,0.01,0,0,0,0.02,0.08
2014-10,94.85,2.07,2.23,0.62,0.03,0.06,0,0.01,0.01,0,0.01,0,0.02,0.07
2014-11,94.47,2.15,2.5,0.71,0,0.04,0,0.01,0.01,0,0.01,0,0.02,0.07
2014-12,94.57,2.1,2.43,0.76,0,0.04,0,0.01,0.01,0.01,0.01,0,0.02,0.05
2015-01,94.71,1.96,2.46,0.72,0,0.03,0,0.01,0.01,0.01,0.01,0,0.01,0.06
2015-02,94.52,2.03,2.44,0.76,0,0.03,0,0.01,0.01,0.1,0.01,0,0.01,0.07
2015-03,94.5,2.04,2.32,0.87,0,0.01,0,0.01,0.02,0.13,0.01,0,0.01,0.07
2015-04,94.76,2,2.15,0.85,0,0.01,0,0.01,0.03,0.11,0.01,0,0.01,0.06
2015-05,95.15,1.83,2.09,0.76,0,0.01,0,0.01,0.03,0.05,0.01,0,0.01,0.05
2015-06,95.83,1.67,1.82,0.52,0,0.01,0,0.01,0.03,0.05,0.01,0,0.01,0.04
2015-07,95.48,1.82,2.01,0.56,0,0.01,0,0.01,0.02,0.02,0.02,0,0.01,0.04
2015-08,95.95,1.69,1.74,0.51,0,0.01,0,0.01,0.03,0.01,0.01,0,0.01,0.04
2015-09,95.81,1.75,1.79,0.52,0,0.01,0,0.01,0.04,0.01,0.02,0,0.01,0.05
2015-10,95.83,1.79,1.8,0.46,0,0.01,0,0.01,0.03,0.01,0.03,0,0.01,0.04
2015-11,96.17,1.63,1.72,0.37,0,0.01,0,0.01,0.03,0.02,0.02,0,0,0.03
2015-12,95.88,1.87,1.83,0.3,0,0.01,0,0.01,0.04,0.02,0.02,0,0,0.04
2016-01,95.81,1.95,1.84,0.27,0,0,0,0.01,0.03,0.02,0.02,0,0,0.05
2016-02,95.85,1.9,1.87,0.24,0,0,0,0,0.03,0.02,0.02,0,0,0.05
2016-03,96.07,1.85,1.76,0.2,0,0,0,0,0.03,0.01,0.02,0,0,0.04
2016-04,96.41,1.78,1.57,0.14,0,0,0,0,0.03,0.01,0.02,0,0,0.04
2016-05,96.47,1.76,1.55,0.12,0,0,0,0,0.03,0.01,0.02,0,0,0.04
2016-06,96.61,1.69,1.52,0.09,0,0,0,0,0.03,0.01,0.01,0,0,0.04
2016-07,96.76,1.52,1.52,0.08,0,0,0,0,0.03,0.02,0.02,0,0,0.04
2016-08,96.86,1.46,1.47,0.07,0,0,0,0,0.04,0.02,0.03,0,0,0.04
2016-09,97.07,1.36,1.38,0.07,0,0,0,0,0.03,0.01,0.04,0,0,0.04
2016-10,97.19,1.27,1.35,0.06,0,0,0,0,0.03,0.01,0.05,0,0,0.03
2016-11,97.21,1.26,1.32,0.05,0,0,0,0,0.03,0.01,0.09,0,0,0.03
2016-12,97.11,1.33,1.41,0.05,0,0,0,0,0.04,0.01,0.01,0,0,0.04
2017-01,97.2,1.29,1.38,0.04,0,0,0,0,0.03,0.01,0.01,0,0,0.03
2017-02,97.18,1.25,1.44,0.04,0,0,0,0,0.04,0.01,0.01,0,0,0.03
2017-03,97.05,1.32,1.51,0.03,0,0,0,0,0.04,0.01,0.01,0,0,0.03
2017-04,96.92,1.41,1.55,0.03,0,0,0,0,0.04,0.01,0.01,0,0,0.03
2017-05,97.01,1.38,1.49,0.03,0,0,0,0,0.04,0.01,0.02,0,0,0.03
2017-06,97.06,1.37,1.45,0.03,0,0,0,0,0.04,0.01,0.01,0,0,0.03
2017-07,96.95,1.41,1.5,0.02,0,0,0,0,0.05,0.01,0.01,0,0,0.03
2017-08,97.08,1.32,1.48,0.02,0,0,0,0,0.05,0.01,0.02,0,0,0.02
2017-09,97.41,1.17,1.31,0.02,0,0,0,0,0.05,0.01,0.02,0,0,0.02
2017-10,97.42,1.22,1.24,0.02,0,0,0,0,0.05,0.01,0.01,0,0,0.02
2017-11,97.33,1.32,1.23,0.02,0,0,0,0,0.05,0.01,0.01,0,0,0.02
2017-12,97.25,1.34,1.29,0.02,0,0,0,0,0.05,0.01,0.02,0,0,0.02
2018-01,97.05,1.36,1.47,0.02,0,0,0,0,0.05,0.01,0.02,0,0,0.02
2018-02,96.92,1.39,1.57,0.02,0,0,0,0,0.05,0.01,0.03,0,0,0.03
2018-03,96.76,1.55,1.58,0.01,0,0,0,0,0.05,0.01,0.01,0,0,0.03
2018-04,96.74,1.62,1.55,0.01,0,0,0,0,0.05,0.01,0,0,0,0.03
2018-05,96.74,1.61,1.55,0.01,0,0,0,0,0.05,0.01,0,0,0,0.02
2018-06,96.66,1.66,1.57,0.01,0,0,0,0,0.05,0.01,0.02,0,0,0.02
2018-07,96.87,1.58,1.42,0.01,0,0,0,0,0.05,0.01,0.05,0,0,0.02
2018-08,96.99,1.58,1.29,0.01,0,0,0,0,0.05,0.01,0.05,0,0,0.02
2018-09,97.66,1.02,1.21,0.01,0,0,0,0,0.05,0.01,0.03,0,0,0.02
2018-10,97.81,0.94,1.13,0.01,0,0,0,0,0.05,0.01,0.03,0,0,0.02
2018-11,97.89,0.91,1.07,0.01,0,0,0,0,0.06,0.01,0.04,0,0,0.02
2018-12,97.9,0.95,1.01,0.01,0,0,0,0,0.06,0.01,0.04,0,0,0.02
2019-01,98,0.91,0.96,0,0,0,0,0,0.06,0.01,0.04,0,0,0.02
2019-02,97.93,0.95,0.99,0,0,0,0,0,0.06,0.01,0.04,0,0,0.02
2019-03,97.79,1.03,1.05,0,0,0,0,0,0.07,0,0.04,0,0,0.02
2019-04,97.62,1.14,1.1,0,0,0,0,0,0.08,0.01,0.03,0,0,0.02
2019-05,97.66,1.14,1.05,0,0,0,0,0,0.08,0.01,0.03,0,0,0.02
2019-06,97.71,1.17,0.97,0,0,0,0,0,0.09,0.01,0.04,0,0,0.02
2019-07,97.68,1.18,0.95,0,0,0,0,0,0.1,0.01,0.03,0,0,0.05
2019-08,97.64,1.14,0.93,0,0,0,0,0,0.1,0.01,0.03,0,0,0.15
2019-09,97.65,1.12,0.93,0,0,0,0,0,0.1,0.01,0.02,0,0,0.18
2019-10,97.73,1.07,0.94,0,0,0,0,0,0.1,0.01,0.01,0,0,0.14
2019-11,97.74,1.08,0.93,0,0,0,0,0,0.1,0.01,0.01,0,0,0.12
2019-12,97.77,1.07,0.92,0,0,0,0,0,0.11,0.01,0.01,0,0,0.11
